['1', '31.00', '30.00', '24-01-2020 11:50:58']
['1', '31.00', '30.00', '24-01-2020 11:51:03']
['1', '32.00', '30.00', '24-01-2020 11:51:08']
['1', '32.00', '30.00', '24-01-2020 11:51:13']
['1', '33.00', '31.00', '24-01-2020 11:51:53']
['1', '33.00', '33.00', '24-01-2020 11:51:58']
['1', '33.00', '30.00', '24-01-2020 11:52:03']
['1', '35.00', '28.00', '24-01-2020 11:52:08']
['1', '33.00', '30.00', '24-01-2020 11:52:13']
['1', '33.00', '29.00', '24-01-2020 11:52:18']
['1', '33.00', '29.00', '24-01-2020 11:52:23']
['1', '33.00', '29.00', '24-01-2020 11:52:28']
['1', '32.00', '30.00', '24-01-2020 11:52:33']
['1', '32.00', '30.00', '24-01-2020 11:52:39']
['1', '32.00', '30.00', '24-01-2020 11:52:44']
['1', '32.00', '30.00', '24-01-2020 11:52:49']
['1', '32.00', '32.00', '24-01-2020 11:52:54']
['1', '33.00', '29.00', '24-01-2020 11:52:59']
['1', '33.00', '29.00', '24-01-2020 11:53:04']
['1', '33.00', '30.00', '24-01-2020 11:53:09']
['1', '33.00', '31.00', '24-01-2020 11:53:14']
['1', '33.00', '34.00', '24-01-2020 11:53:19']
['1', '34.00', '40.00', '24-01-2020 11:53:24']
['1', '34.00', '44.00', '24-01-2020 11:53:29']
['1', '34.00', '41.00', '24-01-2020 11:53:34']
['1', '33.00', '41.00', '24-01-2020 11:53:39']
['1', '33.00', '42.00', '24-01-2020 11:53:44']
['1', '33.00', '42.00', '24-01-2020 11:53:49']
['1', '33.00', '41.00', '24-01-2020 11:53:54']
['1', '33.00', '40.00', '24-01-2020 11:53:59']
['1', '33.00', '41.00', '24-01-2020 11:54:04']
['1', '33.00', '42.00', '24-01-2020 11:54:09']
['1', '33.00', '43.00', '24-01-2020 11:54:15']
['1', '34.00', '46.00', '24-01-2020 11:54:20']
['1', '33.00', '44.00', '24-01-2020 11:54:55']
['1', '32.00', '37.00', '24-01-2020 11:55:00']
['1', '32.00', '35.00', '24-01-2020 11:55:05']
['1', '32.00', '35.00', '24-01-2020 11:55:10']
['1', '32.00', '34.00', '24-01-2020 11:55:15']
['1', '33.00', '35.00', '24-01-2020 11:55:21']
['1', '34.00', '43.00', '24-01-2020 11:55:26']
['1', '34.00', '47.00', '24-01-2020 11:55:31']
['1', '34.00', '52.00', '24-01-2020 11:55:36']
['1', '34.00', '54.00', '24-01-2020 11:55:41']
['1', '33.00', '58.00', '24-01-2020 11:56:00']
['1', '36.00', '53.00', '24-01-2020 11:56:05']
['1', '35.00', '50.00', '24-01-2020 11:56:13']
['1', '35.00', '50.00', '24-01-2020 11:56:18']
['1', '37.00', '41.00', '24-01-2020 11:56:23']
['1', '35.00', '40.00', '24-01-2020 11:56:28']
['1', '34.00', '39.00', '24-01-2020 11:56:33']
['1', '34.00', '35.00', '24-01-2020 11:56:38']
['1', '34.00', '40.00', '24-01-2020 11:56:43']
['1', '34.00', '32.00', '24-01-2020 11:56:49']
